Country,Job_Title,Age_Group,Quantity,Percentage
Belgium,Data Officer,14_25,1,0.01%
Belgium,Data Officer,26_39,3,0.04%
Belgium,Data Processing Consultant,40_65,1,0.01%
Belgium,Data Processing Manager,14_25,1,0.01%
Belgium,Data Processing Systems Analyst,26_39,1,0.01%
Belgium,Data Processing Systems Analyst,40_65,1,0.01%
Belgium,Data Processing Systems Project Planner,26_39,1,0.01%
Belgium,Data Processing Systems Project Planner,40_65,1,0.01%
Belgium,Data Recovery Planner,26_39,1,0.01%
Belgium,Data Scientist,14_25,2,0.02%
Belgium,Data Scientist,40_65,2,0.02%
Belgium,Data Security Administrator,26_39,1,0.01%
Belgium,Data Security Administrator,40_65,2,0.02%
Belgium,Data Security Analyst,40_65,2,0.02%
Belgium,Data Storage Specialist,40_65,1,0.01%
Belgium,Data Systems Manager,40_65,1,0.01%
Belgium,Data Warehouse Analyst,40_65,1,0.01%
Belgium,Data Warehouse Developer,40_65,1,0.01%
Belgium,Data Warehouse Specialist,26_39,2,0.02%
Belgium,Data Warehousing Manager,40_65,2,0.02%
Belgium,Database Administration Associate,40_65,2,0.02%
Belgium,Database Architect,26_39,1,0.01%
Belgium,Database Consultant,26_39,1,0.01%
Belgium,Database Consultant,40_65,1,0.01%
Belgium,Database Coordinator,26_39,1,0.01%
Belgium,Database Design Analyst,40_65,1,0.01%
Belgium,Database Designer,26_39,2,0.02%
Belgium,Database Development and Administration Project Manager,40_65,1,0.01%
Belgium,Database Engineer,40_65,3,0.04%
Belgium,Database Management System Specialist (DBMS Specialist),26_39,1,0.01%
Belgium,Database Management System Specialist (DBMS Specialist),40_65,1,0.01%
Belgium,Database Manager,26_39,2,0.02%
Belgium,Database Manager,40_65,1,0.01%
Belgium,Database Marketing Analyst,26_39,1,0.01%
Belgium,Database Marketing Analyst,40_65,1,0.01%
Belgium,Database Security Administrator,14_25,1,0.01%
Belgium,Database Software Technician,26_39,1,0.01%
Belgium,Database Tester,26_39,2,0.02%
Belgium,Director of Data Operations,26_39,2,0.02%
Belgium,Director of Data Operations,40_65,1,0.01%
Belgium,Electronic Data Processing Auditor (EDP Auditor),40_65,1,0.01%
Belgium,Field Artillery Automated Tactical Data System Specialist,40_65,1,0.01%
Belgium,Flight Data Technician,26_39,1,0.01%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),14_25,1,0.01%
Belgium,Geographic Information Systems Data Manager (GIS Data Manager),40_65,2,0.02%
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),26_39,1,0.01%
Belgium,Geographic Information Systems Data Specialist (GIS Data Specialist),40_65,1,0.01%
Belgium,Head of Information Systems and Data Processing,40_65,1,0.01%
Belgium,Health Data Analyst,14_25,1,0.01%
Belgium,Health Data Analyst,40_65,2,0.02%
Belgium,Log Data Technician,40_65,1,0.01%
Belgium,Marketing Database Analyst,40_65,1,0.01%
Belgium,Medical Data Analyst,40_65,1,0.01%
Belgium,Oracle Database Administrator (Oracle DBA),40_65,1,0.01%
Belgium,Reference Data Expert,26_39,1,0.01%
Belgium,SQL Database Administrator,40_65,1,0.01%
Belgium,Unemployed,14_25,30,0.36%
Belgium,Unemployed,26_39,17,0.2%
Belgium,Unemployed,40_65,29,0.34%
Bulgaria,Automatic Data Processing Planner,40_65,1,0.01%
Bulgaria,Automatic Data Processing Planner (ADP Planner),40_65,1,0.01%
Bulgaria,Business Database Analyst,40_65,1,0.01%
Bulgaria,Clinical Data Management Associate Director,40_65,1,0.01%
Bulgaria,Clinical Data Manager,40_65,1,0.01%
Bulgaria,Computer or Data Processing Systems Consultant,40_65,1,0.01%
Bulgaria,Data Abstractor,14_25,1,0.01%
Bulgaria,Data Administrator,14_25,2,0.02%
Bulgaria,Data Architect,26_39,1,0.01%
Bulgaria,Data Architect,40_65,1,0.01%
Bulgaria,Data Base Design Analyst,40_65,1,0.01%
Bulgaria,Data Center Manager,40_65,1,0.01%
Bulgaria,Data Center Operator,14_25,1,0.01%
Bulgaria,Data Communications Analyst,26_39,1,0.01%
Bulgaria,Data Compiler,26_39,1,0.01%
Bulgaria,Data Control Assistant,14_25,1,0.01%
Bulgaria,Data Coordinator,26_39,1,0.01%
Bulgaria,Data Management Associate,26_39,1,0.01%
Bulgaria,Data Management Information Technology Specialist,14_25,1,0.01%
Bulgaria,Data Miner,14_25,1,0.01%
Bulgaria,Data Miner,40_65,1,0.01%
Bulgaria,Data Modeling Specialist,40_65,1,0.01%
Bulgaria,Data Officer,40_65,1,0.01%
Bulgaria,Data Operations Director,40_65,1,0.01%
Bulgaria,Data Processing Auditor,40_65,2,0.02%
Bulgaria,Data Processing Manager,40_65,3,0.04%
Bulgaria,Data Processing Systems Analyst,14_25,1,0.01%
Bulgaria,Data Processing Systems Analyst,40_65,1,0.01%
Bulgaria,Data Recovery Planner,40_65,1,0.01%
Bulgaria,Data Reduction Technician,26_39,1,0.01%
Bulgaria,Data Security Administrator,40_65,1,0.01%
Bulgaria,Data Security Analyst,14_25,1,0.01%
Bulgaria,Data Storage Specialist,40_65,1,0.01%
Bulgaria,Data Systems Manager,26_39,1,0.01%
Bulgaria,Data Warehouse Architect,14_25,1,0.01%
Bulgaria,Data Warehouse Architect,26_39,2,0.02%
Bulgaria,Data Warehouse Developer,40_65,2,0.02%
Bulgaria,Data Warehouse Specialist,14_25,1,0.01%
Bulgaria,Data Warehouse Specialist,26_39,3,0.04%
Bulgaria,Data Warehouse Specialist,40_65,1,0.01%
Bulgaria,Data Warehousing Engineer,40_65,1,0.01%
Bulgaria,Data Warehousing Specialist,40_65,2,0.02%
Bulgaria,Database Administration Associate,26_39,2,0.02%
Bulgaria,Database Administration Manager,40_65,1,0.01%
Bulgaria,Database Analyst,26_39,1,0.01%
Bulgaria,Database Architect,40_65,1,0.01%
Bulgaria,Database Consultant,40_65,1,0.01%
Bulgaria,Database Coordinator,40_65,1,0.01%
Bulgaria,Database Design Analyst,14_25,1,0.01%
Bulgaria,Database Designer,14_25,1,0.01%
Bulgaria,Database Designer,26_39,1,0.01%
Bulgaria,Database Development Project Manager,14_25,1,0.01%
Bulgaria,Database Modeler,26_39,1,0.01%
Bulgaria,Database Modeler,40_65,1,0.01%
Bulgaria,Database Security Administrator,26_39,1,0.01%
Bulgaria,Database Security Expert,26_39,1,0.01%
Bulgaria,Database Software Technician,26_39,1,0.01%
Bulgaria,Database Software Technician,40_65,1,0.01%
Bulgaria,Database Tester,26_39,1,0.01%
Bulgaria,Database Tester,40_65,1,0.01%
Bulgaria,Director of Data Operations,26_39,1,0.01%
Bulgaria,Electronic Data Processing Auditor (EDP Auditor),26_39,1,0.01%
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",26_39,2,0.02%
Bulgaria,"Engineer, System Electronic Data Processing (Engineer, System EDP)",40_65,1,0.01%
Bulgaria,Geographic Information Systems Data Administrator (GIS Data Administrator),40_65,1,0.01%
Bulgaria,Geographic Information Systems Data Manager (GIS Data Manager),14_25,1,0.01%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),26_39,2,0.02%
Bulgaria,Geographic Information Systems Data Specialist (GIS Data Specialist),40_65,2,0.02%
Bulgaria,Geographic Information Systems Database Administrator (GIS Database Administrator),40_65,2,0.02%
Bulgaria,Head of Information Systems and Data Processing,40_65,3,0.04%
Bulgaria,Internet Database Specialist,26_39,1,0.01%
Bulgaria,Internet Database Specialist,40_65,3,0.04%
Bulgaria,"Naval Tactical Data System--Combat Information Center Watch Officer, Carrier Controlled Approach Controller",40_65,2,0.02%
Bulgaria,SCADA Technician (Supervisory Control and Data Acquisition Technician),40_65,1,0.01%
Bulgaria,SQL Database Administrator,26_39,2,0.02%
Bulgaria,Survey Data Technician,26_39,1,0.01%
Bulgaria,Unemployed,14_25,9,0.11%
Bulgaria,Unemployed,26_39,15,0.18%
Bulgaria,Unemployed,40_65,21,0.25%
Croatia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),40_65,1,0.01%
Croatia,Clinical Data Abstractor,26_39,1,0.01%
Croatia,Clinical Data Management Associate Director,40_65,1,0.01%
Croatia,Computer or Data Processing Systems Consultant,14_25,1,0.01%
Croatia,Computer or Data Processing Systems Consultant,40_65,1,0.01%
Croatia,Data Administrator,26_39,1,0.01%
Croatia,Data Analysis Assistant,26_39,1,0.01%
Croatia,Data Coordinator,40_65,1,0.01%
Croatia,Data Entry Associate,40_65,1,0.01%
Croatia,Data Management Associate,26_39,1,0.01%
Croatia,Data Management Information Technology Specialist,40_65,1,0.01%
Croatia,Data Modeling Specialist,40_65,1,0.01%
Croatia,Data Officer,40_65,1,0.01%
Croatia,Data Operations Director,40_65,1,0.01%
Croatia,Data Processing Manager,26_39,1,0.01%
Croatia,Data Processing Systems Project Planner,40_65,1,0.01%
Croatia,Data Security Administrator,14_25,1,0.01%
Croatia,Data Security Administrator,40_65,1,0.01%
Croatia,Data Storage Specialist,26_39,1,0.01%
Croatia,Data Storage Specialist,40_65,1,0.01%
Croatia,Data Systems Manager,40_65,2,0.02%
Croatia,Data Warehouse Developer,26_39,1,0.01%
Croatia,Data Warehouse Specialist,40_65,1,0.01%
Croatia,Database Coordinator,40_65,1,0.01%
Croatia,Database Design Analyst,14_25,1,0.01%
Croatia,Database Design Analyst,40_65,1,0.01%
Croatia,Database Designer,40_65,1,0.01%
Croatia,Database Engineer,40_65,1,0.01%
Croatia,Database Modeler,40_65,2,0.02%
Croatia,Database Security Administrator,26_39,2,0.02%
Croatia,Database Security Administrator,40_65,1,0.01%
Croatia,Database Security Expert,40_65,1,0.01%
Croatia,Database Specialist,40_65,1,0.01%
Croatia,Database Tester,40_65,1,0.01%
Croatia,Electronic Data Interchange System Developer (EDI System Developer),40_65,1,0.01%
Croatia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",26_39,1,0.01%
Croatia,Geographic Information Systems Data Administrator (GIS Data Administrator),14_25,1,0.01%
Croatia,Geographic Information Systems Data Manager (GIS Data Manager),26_39,1,0.01%
Croatia,Geographic Information Systems Data Manager (GIS Data Manager),40_65,1,0.01%
Croatia,Geographic Information Systems Data Specialist (GIS Data Specialist),40_65,2,0.02%
Croatia,Geographic Information Systems Database Administrator (GIS Database Administrator),26_39,1,0.01%
Croatia,Head of Information Systems and Data Processing,26_39,1,0.01%
Croatia,Internet Database Specialist,26_39,1,0.01%
Croatia,Internet Database Specialist,40_65,1,0.01%
Croatia,"Operations Officer, Afloat (Naval Tactical Data Systems)",26_39,1,0.01%
Croatia,Unemployed,14_25,16,0.19%
Croatia,Unemployed,26_39,11,0.13%
Croatia,Unemployed,40_65,11,0.13%
Cyprus,Clinical Trials Data Coordinator,14_25,1,0.01%
Cyprus,Data Communications Analyst,26_39,1,0.01%
Cyprus,Data Management Associate,26_39,1,0.01%
Cyprus,Data Modeling Specialist,40_65,1,0.01%
Cyprus,Data Systems Manager,40_65,1,0.01%
Cyprus,Data Warehousing Specialist,40_65,1,0.01%
Cyprus,Database Administrator (DBA),40_65,1,0.01%
Cyprus,Head of Information Systems and Data Processing,40_65,1,0.01%
Cyprus,Unemployed,14_25,2,0.02%
Cyprus,Unemployed,26_39,2,0.02%
Cyprus,Unemployed,40_65,1,0.01%
Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),14_25,1,0.01%
Czechia,Automatic Data Processing Customer Liaison (ADP Customer Liaison),40_65,1,0.01%
Czechia,Automatic Data Processing Planner,40_65,2,0.02%
Czechia,Automatic Data Processing Planner (ADP Planner),40_65,1,0.01%
Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),26_39,1,0.01%
Czechia,Automatic Data Processing Systems Security Specialist (ADP Systems Security),40_65,2,0.02%
Czechia,Clinical Data Coordinator,40_65,1,0.01%
Czechia,Computer or Data Processing Systems Consultant,26_39,1,0.01%
Czechia,Computer or Data Processing Systems Consultant,40_65,2,0.02%
Czechia,Data Acquisition Technician,14_25,1,0.01%
Czechia,Data Administrator,40_65,2,0.02%
Czechia,Data Architect,26_39,1,0.01%
Czechia,Data Architect,40_65,1,0.01%
Czechia,Data Center Operator,40_65,1,0.01%
Czechia,Data Collection Technician,40_65,1,0.01%
Czechia,Data Communications Analyst,40_65,1,0.01%
Czechia,Data Communications Software Consultant,40_65,1,0.01%
Czechia,Data Control Assistant,26_39,1,0.01%
Czechia,Data Coordinator,40_65,1,0.01%
Czechia,Data Entry Machine Operator,40_65,1,0.01%
Czechia,Data Entry Specialist,40_65,1,0.01%
Czechia,Data Keyer,14_25,1,0.01%
Czechia,Data Management Associate,26_39,1,0.01%
Czechia,Data Management Information Technology Specialist,40_65,1,0.01%
Czechia,Data Manager,40_65,1,0.01%
Czechia,Data Miner,40_65,1,0.01%
Czechia,Data Modeling Specialist,26_39,1,0.01%
Czechia,Data Modeling Specialist,40_65,1,0.01%
Czechia,Data Officer,26_39,3,0.04%
Czechia,Data Officer,40_65,1,0.01%
Czechia,Data Operations Director,26_39,1,0.01%
Czechia,Data Operations Director,40_65,2,0.02%
Czechia,Data Processing Auditor,40_65,1,0.01%
Czechia,Data Processing Auxiliary Equipment Operator,40_65,1,0.01%
Czechia,Data Processing Equipment Repairer,26_39,1,0.01%
Czechia,Data Processing Manager,40_65,1,0.01%
Czechia,Data Processing Mechanic,26_39,1,0.01%
Czechia,Data Processing Services Sales Representative,40_65,1,0.01%
Czechia,Data Processing Systems Analyst,26_39,2,0.02%
Czechia,Data Processing Systems Analyst,40_65,1,0.01%
Czechia,Data Processing Systems Project Planner,40_65,2,0.02%
Czechia,Data Sciences Director,26_39,1,0.01%
Czechia,Data Scientist,26_39,1,0.01%
Czechia,Data Security Analyst,14_25,1,0.01%
Czechia,Data Security Analyst,40_65,1,0.01%
Czechia,Data Storage Specialist,26_39,1,0.01%
Czechia,Data Storage Specialist,40_65,2,0.02%
Czechia,Data Systems Manager,40_65,1,0.01%
Czechia,Data Technician,40_65,1,0.01%
Czechia,Data Warehouse Analyst,14_25,1,0.01%
Czechia,Data Warehouse Analyst,40_65,1,0.01%
Czechia,Data Warehouse Architect,26_39,1,0.01%
Czechia,Data Warehouse Architect,40_65,1,0.01%
Czechia,Data Warehouse Developer,40_65,1,0.01%
Czechia,Data Warehousing Engineer,40_65,1,0.01%
Czechia,Data Warehousing Manager,26_39,2,0.02%
Czechia,Data Warehousing Specialist,40_65,1,0.01%
Czechia,Database Administration Associate,40_65,1,0.01%
Czechia,Database Administrator (DBA),14_25,1,0.01%
Czechia,Database Architect,26_39,2,0.02%
Czechia,Database Consultant,26_39,2,0.02%
Czechia,Database Consultant,40_65,1,0.01%
Czechia,Database Coordinator,26_39,1,0.01%
Czechia,Database Coordinator,40_65,1,0.01%
Czechia,Database Designer,40_65,1,0.01%
Czechia,Database Development Project Manager,40_65,1,0.01%
Czechia,Database Development and Administration Project Manager,40_65,1,0.01%
Czechia,Database Engineer,26_39,3,0.04%
Czechia,Database Management System Specialist (DBMS Specialist),26_39,1,0.01%
Czechia,Database Marketing Analyst,14_25,1,0.01%
Czechia,Database Security Administrator,26_39,1,0.01%
Czechia,Database Security Administrator,40_65,2,0.02%
Czechia,Database Security Expert,26_39,2,0.02%
Czechia,Database Software Technician,40_65,3,0.04%
Czechia,Database Specialist,26_39,1,0.01%
Czechia,Database Tester,40_65,2,0.02%
Czechia,Databases Computer Consultant,40_65,2,0.02%
Czechia,Databases Software Consultant,26_39,1,0.01%
Czechia,Director of Data Operations,40_65,3,0.04%
Czechia,Electronic Data Processing Auditor (EDP Auditor),26_39,1,0.01%
Czechia,"Engineer, System Electronic Data Processing (Engineer, System EDP)",40_65,1,0.01%
Czechia,Flight Test Data Acquisition Technician,14_25,1,0.01%
Czechia,GPS Field Data Collector (Global Positioning System Field Data Collector),40_65,1,0.01%
Czechia,Geographic Information Systems Data Administrator (GIS Data Administrator),26_39,1,0.01%
Czechia,Geographic Information Systems Data Manager (GIS Data Manager),40_65,1,0.01%
Czechia,Geographic Information Systems Data Specialist (GIS Data Specialist),40_65,2,0.02%
Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),26_39,1,0.01%
Czechia,Geographic Information Systems Database Administrator (GIS Database Administrator),40_65,1,0.01%
Czechia,Head of Information Systems and Data Processing,26_39,2,0.02%
Czechia,Head of Information Systems and Data Processing,40_65,1,0.01%
Czechia,Health Data Analyst,14_25,1,0.01%
Czechia,Internet Database Specialist,14_25,1,0.01%
Czechia,Internet Database Specialist,26_39,1,0.01%
Czechia,Internet Database Specialist,40_65,2,0.02%
Czechia,Maintenance Data Analyst,40_65,1,0.01%
Czechia,Marketing Database Analyst,40_65,1,0.01%
Czechia,Micro Computer Data Processor,40_65,1,0.01%
Czechia,Naval Tactical Data System--Combat Information Center Officer,40_65,1,0.01%
Czechia,"Naval Tactical Data System--Combat Information Center Watch Officer, General",26_39,1,0.01%
Czechia,Oracle Database Administrator (Oracle DBA),26_39,1,0.01%
Czechia,Oracle Database Administrator (Oracle DBA),40_65,2,0.02%
Czechia,SCADA Technician (Supervisory Control and Data Acquisition Technician),40_65,1,0.01%
Czechia,SQL Database Administrator,26_39,1,0.01%
Czechia,Unemployed,14_25,22,0.26%
Czechia,Unemployed,26_39,17,0.2%
Czechia,Unemployed,40_65,20,0.24%
Denmark,Automatic Data Processing Planner,26_39,1,0.01%
Denmark,Automatic Data Processing Planner,40_65,1,0.01%
Denmark,Automatic Data Processing Planner (ADP Planner),40_65,2,0.02%
Denmark,Automatic Data Processing Systems Security Specialist (ADP Systems Security),14_25,1,0.01%
Denmark,Clinical Data Manager,26_39,1,0.01%
Denmark,Data Architect,26_39,1,0.01%
Denmark,Data Base Design Analyst,14_25,1,0.01%
Denmark,Data Communications Software Consultant,40_65,4,0.05%
Denmark,Data Coordinator,40_65,2,0.02%
Denmark,Data Keyer,14_25,1,0.01%
Denmark,Data Management Information Technology Specialist,26_39,1,0.01%
Denmark,Data Manager,14_25,1,0.01%
Denmark,Data Officer,14_25,1,0.01%
Denmark,Data Officer,26_39,1,0.01%
Denmark,Data Officer,40_65,2,0.02%
Denmark,Data Operations Director,26_39,1,0.01%
Denmark,Data Processing Auditor,40_65,1,0.01%
Denmark,Data Processing Consultant,40_65,2,0.02%
Denmark,Data Processing Manager,26_39,1,0.01%
Denmark,Data Scientist,14_25,1,0.01%
Denmark,Data Storage Specialist,26_39,1,0.01%
Denmark,Data Storage Specialist,40_65,1,0.01%
Denmark,Data Systems Manager,26_39,1,0.01%
Denmark,Data Transcriber,40_65,1,0.01%
Denmark,Data Typist,40_65,1,0.01%
Denmark,Data Warehouse Analyst,14_25,1,0.01%
Denmark,Data Warehouse Architect,40_65,2,0.02%
Denmark,Data Warehouse Developer,40_65,1,0.01%
Denmark,Data Warehouse Specialist,26_39,1,0.01%
Denmark,Data Warehousing Specialist,40_65,1,0.01%
Denmark,Database Administration Associate,40_65,1,0.01%
Denmark,Database Consultant,40_65,1,0.01%
Denmark,Database Coordinator,26_39,2,0.02%
Denmark,Database Designer,40_65,1,0.01%
Denmark,Database Development and Administration Project Manager,40_65,2,0.02%
Denmark,Database Engineer,14_25,1,0.01%
Denmark,Database Management System Specialist (DBMS Specialist),26_39,1,0.01%
Denmark,Database Management System Specialist (DBMS Specialist),40_65,1,0.01%
Denmark,Database Modeler,40_65,1,0.01%
Denmark,Database Security Expert,40_65,2,0.02%
Denmark,Database Specialist,40_65,3,0.04%
Denmark,Database Tester,26_39,1,0.01%
Denmark,Database Tester,40_65,1,0.01%
Denmark,Databases Computer Consultant,40_65,1,0.01%
Denmark,Director of Data Operations,40_65,1,0.01%
Denmark,Electronic Data Interchange System Developer (EDI System Developer),26_39,1,0.01%
Denmark,Electronic Data Interchange System Developer (EDI System Developer),40_65,1,0.01%
Denmark,Electronic Data Processing Auditor (EDP Auditor),40_65,1,0.01%
Denmark,Field Traffic Data Technician,40_65,1,0.01%
Denmark,Health Data Analyst,40_65,1,0.01%
Denmark,Internet Database Specialist,40_65,1,0.01%
Denmark,Medical Data Analyst,40_65,1,0.01%
Denmark,Oracle Database Administrator (Oracle DBA),26_39,1,0.01%
Denmark,Oracle Database Administrator (Oracle DBA),40_65,2,0.02%
Denmark,SQL Database Administrator,40_65,1,0.01%
Denmark,Survey Data Technician,40_65,2,0.02%
Denmark,Unemployed,14_25,16,0.19%
Denmark,Unemployed,26_39,12,0.14%
Denmark,Unemployed,40_65,20,0.24%
Estonia,Data Base Design Analyst,26_39,1,0.01%
Estonia,Data Collection Technician,40_65,1,0.01%
Estonia,Data Entry Supervisor,14_25,1,0.01%
Estonia,Data Management Information Technology Specialist,26_39,1,0.01%
Estonia,Data Operations Director,26_39,1,0.01%
Estonia,Data Processing Supervisor,40_65,1,0.01%
Estonia,Database Administration Manager,40_65,1,0.01%
Estonia,Database Manager,40_65,1,0.01%
Estonia,Director of Data Operations,26_39,1,0.01%
Estonia,Geographic Information Systems Data Specialist (GIS Data Specialist),26_39,1,0.01%
Estonia,Unemployed,14_25,4,0.05%
Estonia,Unemployed,26_39,3,0.04%
Estonia,Unemployed,40_65,1,0.01%
Finland,Automatic Data Processing Customer Liaison (ADP Customer Liaison),26_39,1,0.01%
Finland,Automatic Data Processing Planner (ADP Planner),26_39,1,0.01%
Finland,Clinical Data Management Manager (CDM Manager),40_65,1,0.01%
Finland,Computer or Data Processing Systems Consultant,26_39,1,0.01%
Finland,Computer or Data Processing Systems Consultant,40_65,1,0.01%
Finland,Data Administrator,40_65,1,0.01%
Finland,Data Analysis Assistant,40_65,1,0.01%
Finland,Data Architect,40_65,1,0.01%
Finland,Data Collection Technician,40_65,1,0.01%
Finland,Data Communications Analyst,26_39,1,0.01%
Finland,Data Coordinator,14_25,1,0.01%
Finland,Data Coordinator,26_39,1,0.01%
Finland,Data Coordinator,40_65,1,0.01%
Finland,Data Entry Representative,40_65,1,0.01%
Finland,Data Management Information Technology Specialist,40_65,1,0.01%
Finland,Data Manager,40_65,1,0.01%
Finland,Data Modeling Specialist,14_25,1,0.01%
Finland,Data Modeling Specialist,26_39,1,0.01%
Finland,Data Officer,26_39,1,0.01%
Finland,Data Officer,40_65,2,0.02%
Finland,Data Operations Director,26_39,1,0.01%
Finland,Data Processing Auditor,14_25,2,0.02%
Finland,Data Processing Consultant,40_65,1,0.01%
Finland,Data Processing Manager,14_25,1,0.01%
Finland,Data Processing Mechanic,40_65,1,0.01%
Finland,Data Processing Systems Analyst,40_65,1,0.01%
Finland,Data Reduction Technician,26_39,1,0.01%
Finland,Data Reduction Technician,40_65,1,0.01%
Finland,Data Scientist,40_65,1,0.01%
